Archivo,Profesor,Grupo,Materia,Horas_Semana,Dia,Hora_Inicio,Hora_Fin,Bloque_Horario,Salon,Tipo_Salon,Piso,Es_Invalido,Es_Primer_Semestre
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2531/EA,PROGRAMACIÓN,4,Lunes,18:19,18:20,1819,FF1,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2531/EA,PROGRAMACIÓN,4,Martes,18:19,18:20,1819,LCA,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2531/EA,PROGRAMACIÓN,4,Miercoles,18:19,18:20,1819,FF1,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2531/EA,PROGRAMACIÓN,4,Jueves,18:19,18:20,1819,LCA,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2531/FA,PROGRAMACIÓN,4,Lunes,18:19,18:20,1819,LIA,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2531/FA,PROGRAMACIÓN,4,Martes,18:19,18:20,1819,FF3,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2531/FA,PROGRAMACIÓN,4,Miercoles,18:19,18:20,1819,LIA,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2531/FA,PROGRAMACIÓN,4,Jueves,18:19,18:20,1819,FF3,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,7503/C,CONMUTACIÓN Y ENRUTAMIENTO EN REDES DE DATOS,5,Lunes,19:20,19:21,1920,FF2,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,7503/C,CONMUTACIÓN Y ENRUTAMIENTO EN REDES DE DATOS,5,Martes,19:20,19:21,1920,LR,Laboratorio,Primer Piso,0,0
