Grupo,Materia.,Lunes,Martes,Miercoles,Jueves,Viernes,Class
1 [] [] SIN PROFESOR ASIGNADO,,,,,,,
6503/C,REDES DE COMPUTADORAS,1819/LR,1819/LR,1819/LR,1819/LR,1819/LR,5
,,,,,,,
PROFESOR 25,,,,,,,
2531/A,PROGRAMACIÓN,0708/LSO,0708/LIA,0708/LSO,0708/LIA,,4
3556/C,PROGRAMACIÓN ESTRUCTURADA,0809/LCG2,0809/FFD,0809/LCG2,0809/FFD,0809/LCG2,5
2531/B,PROGRAMACIÓN,0910/FFA,0910/LCG2,0910/FFA,0910/LCG2,,4
2605/A,COMPUTACIÓN PARA INGENIERÍA PETROLERA,1011/LCG2,1011/FF5,1011/LCG2,1011/FF5,1011/LCG2,5
,,,,,,,
PROFESOR 26,,,,,,,
7506/C,GESTIÓN DE PROYECTOS DE SOFTWARE,0910/FF9,0910/FF9,0910/FF9,0910/FF9,0911/FF9,6
8505/A,TALLER DE INVESTIGACIÓN II,1011/FF9,1011/FF9,1011/FF9,1011/FF9,,4
7506/A,GESTIÓN DE PROYECTOS DE SOFTWARE,1213/FF9,1213/FF9,1213/FF9,1213/FF9,1214/FF9,6
7504/A,TALLER DE INVESTIGACIÓN I,1314/FF9,1314/FF9,1314/FF9,1314/FF9,,4
,,,,,,,
PROFESOR 27,,,,,,,
4542/AA,ALGORITMOS Y LENGUAJES DE PROGRAMACIÓN,0910/FFC,0910/LCG1,0910/FFC,0910/LCG1,,4
4542/BA,ALGORITMOS Y LENGUAJES DE PROGRAMACIÓN,1011/FFB,1011/LR,1011/FFB,1011/LR,,4
2515/A,ALGORITMOS Y PROGRAMACIÓN,1112/FFB,1112/LBD2,1112/FFB,1112/LBD2,,4
4542/C,ALGORITMOS Y LENGUAJES DE PROGRAMACIÓN,1213/FF1,1213/LCG1,1213/FF1,1213/LCG1,,4
,,,,,,,
PROFESOR 28,,,,,,,
6115/A,SIMULACIÓN,1314/AV4,1314/AV4,1314/AV4,1314/AV4,1314/AV4,5
,,,,,,,
PROFESOR 29,,,,,,,
3566/D,PROGRAMACIÓN,1112/FF6,1112/LR,1112/FF6,1112/LR,,4
4542/CA,ALGORITMOS Y LENGUAJES DE PROGRAMACIÓN,1213/LSO,1213/FF1,1213/LSO,1213/FF1,,4
2515/B,ALGORITMOS Y PROGRAMACIÓN,1415/LCA,1415/FF7,1415/LCA,1415/FF7,,4
2515/C,ALGORITMOS Y PROGRAMACIÓN,1516/FFC,1516/LCG1,1516/FFC,1516/LCG1,,4
2531/F,PROGRAMACIÓN,1718/LSO,1718/FF3,1718/LSO,1718/FF3,,4
,,,,,,,
PROFESOR 30,,,,,,,
4504/D,FUNDAMENTOS DE BASE DE DATOS,1011/FF1,1011/FF1,1011/FF1,1011/FF1,1011/FF1,5
8505/B,TALLER DE INVESTIGACIÓN II,1112/FF8,1112/FF8,1112/FF8,1112/FF8,,4
8505/C,TALLER DE INVESTIGACIÓN II,1314/FF8,1314/FF8,1314/FF8,1314/FF8,,4
1504/E,MATEMÁTICAS DISCRETAS,1415/FF2,1415/FF2,1415/FF2,1415/FF2,1415/FF2,5
1504/D,MATEMÁTICAS DISCRETAS,1516/FF5,1516/FF5,1516/FF5,1516/FF5,1516/FF5,5
,,,,,,,
PROFESOR 31,,,,,,,
3556/A,PROGRAMACIÓN ESTRUCTURADA,1112/LCG2,1112/FFC,1112/LCG2,1112/FFC,1112/LCG2,5
4556/A,PROGRAMACIÓN VISUAL,1314/LBD2,1314/FF5,1314/LBD2,1314/FF5,1314/LBD2,5
,,,,,,,
PROFESOR 32,,,,,,,
6506/C,INGENIERÍA DE SOFTWARE,1415/FF8,1415/LCG2,1415/FF8,1415/LCG2,1415/LCG2,5
7506/B,GESTIÓN DE PROYECTOS DE SOFTWARE,1617/FFA,1617/FFA,1617/FFA,1617/FFA,1618/FFA,6
5506/B,FUNDAMENTOS DE INGENIERÍA DE SOFTWARE,1819/FF4,1819/FF4,1819/FF4,1819/FF4,,4
,,,,,,,
PROFESOR 33,,,,,,,
4505/B,TÓPICOS AVANZADOS DE PROGRAMACIÓN,1011/LIA,1011/FF6,1011/LIA,1011/FF6,1011/FF6,5
850M/C,PROGRAMACIÓN NATIVA PARA MÓVILES,1112/LCA,1112/FF6,1112/LCA,1112/FF6,1112/FF6,5
,,,,,,,
PROFESOR 34,,,,,,,
1502/C,FUNDAMENTOS DE PROGRAMACIÓN,1011/FF3,1011/LCG1,1011/FF3,1011/LCG1,1011/LCG1,5
1502/CA,FUNDAMENTOS DE PROGRAMACIÓN,1112/FF5,1112/LCG2,1112/FF5,1112/LCG2,1112/LBD,5
1502/D,FUNDAMENTOS DE PROGRAMACIÓN,1314/LCG2,1314/FFA,1314/LCG2,1314/FFA,1314/LCG2,5
1112/A,FUNDAMENTOS DE PROGRAMACIÓN,1415/AV2,1415/AV2,1415/AV2,1415/AV2,1415/AV2,5
,,,,,,,
PROFESOR 35,,,,,,,
3506/B,ESTRUCTURA DE DATOS,1213/FFD,1213/LIA,1213/FFD,1213/LIA,1213/LIA,5
3506/C,ESTRUCTURA DE DATOS,1314/LCG1,1314/FFB,1314/LCG1,1314/FFB,1314/FFB,5
2502/B,PROGRAMACIÓN ORIENTADA A OBJETOS,1415/FFD,1415/LIA,1415/FFD,1415/LIA,1415/LIA,5
2112/A,PROGRAMACIÓN ORIENTADA A OBJETOS,1516/AV4,1516/AV4,1516/AV4,1516/AV4,1516/AV4,5
,,,,,,,
PROFESOR 36,,,,,,,
2531/D,PROGRAMACIÓN,1516/FFB,1516/LCG2,1516/FFB,1516/LCG2,,4
1502/FA,FUNDAMENTOS DE PROGRAMACIÓN,1617/FFD,1617/LIA,1617/FFD,1617/LIA,1617/LIA,5
1502/F,FUNDAMENTOS DE PROGRAMACIÓN,1718/FF7,1718/LIA,1718/FF7,1718/LIA,1718/LCG1,5
3566/E,PROGRAMACIÓN,1819/FFA,1819/LIA,1819/FFA,1819/LIA,,4
,,,,,,,
PROFESOR 37,,,,,,,
3566/A,PROGRAMACIÓN,0910/FF6,,0910/FF6,0910/LBD2,0910/LBD2,4
5116/A,FUNDAMENTOS DE INGENIERÍA DE SOFTWARE,1011/AV5,1011/AV5,1011/AV5,1011/AV5,,4
2605/C,COMPUTACIÓN PARA INGENIERÍA PETROLERA,1112/LBD2,1112/FF4,1112/LBD2,1112/FF4,1112/FF4,5
3566/B,PROGRAMACIÓN,1213/LCA,1213/FFA,1213/LCA,1213/FFA,,4
1502/DA,FUNDAMENTOS DE PROGRAMACIÓN,1314/FFD,1314/LCG2,1314/FFD,1314/LCG2,1314/LCG1,5
